STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,nearfd,triangle_census_total_population,triangle_census_total_households,triangle_census_seniors_65plus,triangle_census_race_white_alone,triangle_census_race_black_african_american_alone,triangle_census_race_asian_alone,triangle_census_race_other,triangle_census_zero_vehicle_households,triangle_census_households_income_less_than_35k,triangle_census_hispanic
"37","063","002019","1","370630020191",Block Group 1,G5030,S,"4882221","51127","+35.9028449","-078.9763172","1","1539","898","274","1034","463","18","24","0","149","14"
"37","063","002020","1","370630020201",Block Group 1,G5030,S,"7053333","190846","+35.8836714","-078.9598590","1","2168","840","283","1614","280","226","48","50","68","45"
"37","063","001806","1","370630018061",Block Group 1,G5030,S,"25144717","4453539","+36.0188083","-078.7823194","1","1565","600","295","1355","10","0","200","0","311","278"
"37","063","001808","2","370630018082",Block Group 2,G5030,S,"15113449","87253","+35.9604800","-078.8131335","1","8457","3185","628","3484","4084","530","359","15","261","450"
"37","063","002024","1","370630020241",Block Group 1,G5030,S,"3071560","0","+35.9361451","-078.9314022","1","4184","1725","360","2858","793","331","202","49","222","119"
"37","063","002026","1","370630020261",Block Group 1,G5030,S,"1458723","80965","+35.9459006","-078.9096376","1","3504","1299","238","1404","1975","16","109","185","432","798"
"37","063","002027","2","370630020272",Block Group 2,G5030,S,"8718313","83692","+35.8932324","-078.8980000","1","5388","2529","592","2699","2367","240","82","190","819","681"
"37","063","002028","1","370630020281",Block Group 1,G5030,S,"11200071","54088","+35.9125582","-078.8313847","1","2955","1308","448","1563","696","479","217","0","125","140"
"37","063","980100","1","370639801001",Block Group 1,G5030,S,"21187580","188875","+35.9038564","-078.8659073","1","0","0","0","0","0","0","0","0","0","0"
"37","183","053509","2","371830535092",Block Group 2,G5030,S,"2389944","171208","+35.7463217","-078.8044181","1","1992","708","364","1773","81","47","91","0","17","60"
"37","183","052806","1","371830528061",Block Group 1,G5030,S,"5316913","29666","+35.7419729","-078.5569266","1","1358","397","346","128","610","126","494","0","147","420"
"37","183","053009","3","371830530093",Block Group 3,G5030,S,"5098036","11048","+35.6928748","-078.6624038","0","1001","402","245","662","183","0","156","0","72","0"
"37","183","053106","1","371830531061",Block Group 1,G5030,S,"7822067","20945","+35.5861245","-078.8209831","1","3323","1352","643","2320","870","7","126","153","455","117"
"37","183","053518","3","371830535183",Block Group 3,G5030,S,"711196","34324","+35.7692542","-078.8006009","1","957","429","218","829","68","0","60","0","40","9"
"37","183","054210","1","371830542101",Block Group 1,G5030,S,"29561437","318632","+35.9216051","-078.4163927","1","2108","893","372","1941","90","0","77","14","238","69"
"37","183","053506","4","371830535064",Block Group 4,G5030,S,"2433396","0","+35.7488500","-078.7745968","1","2091","906","600","1855","94","129","13","58","105","109"
"37","183","053512","1","371830535121",Block Group 1,G5030,S,"2832008","0","+35.8212835","-078.7935419","1","3042","1199","396","2340","265","227","210","17","152","22"
"37","183","054106","2","371830541062",Block Group 2,G5030,S,"6770354","124536","+35.7733893","-078.5668637","1","1288","611","359","414","740","0","134","0","208","11"
"37","183","052507","2","371830525072",Block Group 2,G5030,S,"1690628","11513","+35.8509380","-078.7072113","1","2271","856","221","1711","268","48","244","136","261","215"
"37","183","053720","3","371830537203",Block Group 3,G5030,S,"4240683","0","+35.9325307","-078.7304655","1","2033","661","189","1897","43","27","66","0","17","66"
"37","183","053720","2","371830537202",Block Group 2,G5030,S,"3712964","0","+35.9542540","-078.7139069","0","980","350","210","882","48","0","50","0","40","20"
"37","183","053721","2","371830537212",Block Group 2,G5030,S,"4595668","33872","+35.9266352","-078.7074981","1","1847","680","355","1787","23","27","10","0","12","21"
"37","183","053716","1","371830537161",Block Group 1,G5030,S,"876617","62880","+35.8612181","-078.6572987","0","999","600","269","779","151","0","69","48","169","36"
"37","183","053716","2","371830537162",Block Group 2,G5030,S,"1505187","0","+35.8573999","-078.6484794","0","1240","559","157","873","353","0","14","19","122","15"
"37","183","053405","1","371830534051",Block Group 1,G5030,S,"1502196","0","+35.7105523","-078.7985797","1","1075","364","122","964","18","71","22","0","9","26"
"37","183","053610","1","371830536101",Block Group 1,G5030,S,"5167881","0","+35.9121124","-078.7989628","1","7942","3545","947","5229","1565","566","582","134","492","788"
"37","183","054016","3","371830540163",Block Group 3,G5030,S,"1500658","0","+35.9020564","-078.5933382","1","2422","1014","265","1904","393","34","91","34","190","103"
"37","063","001707","4","370630017074",Block Group 4,G5030,S,"5259443","98490","+36.0599754","-078.9557502","1","1990","873","458","1908","62","0","20","20","168","28"
"37","183","052809","1","371830528091",Block Group 1,G5030,S,"5488027","0","+35.6500029","-078.5553993","0","1188","374","94","791","370","0","27","0","41","250"
"37","183","052409","2","371830524092",Block Group 2,G5030,S,"424823","0","+35.7796897","-078.6806152","0","1657","232","0","1095","129","426","7","76","144","7"
"37","183","053601","1","371830536011",Block Group 1,G5030,S,"3587258","0","+35.8548559","-078.9007240","1","4794","1990","157","1444","687","2308","355","60","215","308"
"37","183","052301","1","371830523011",Block Group 1,G5030,S,"1589053","375579","+35.7571363","-078.7100005","0","1483","785","192","1169","79","177","58","0","206","38"
"37","183","054001","1","371830540011",Block Group 1,G5030,S,"1269805","0","+35.8592374","-078.6328153","1","1631","775","315","1491","127","0","13","96","224","198"
"37","183","053716","3","371830537163",Block Group 3,G5030,S,"812068","0","+35.8653796","-078.6442557","1","1977","945","198","1075","850","0","52","28","206","42"
"37","183","052603","2","371830526032",Block Group 2,G5030,S,"1117880","0","+35.8272214","-078.6336457","1","936","468","81","764","77","57","38","0","62","25"
"37","183","052602","3","371830526023",Block Group 3,G5030,S,"829654","0","+35.8430272","-078.6385812","1","1463","730","446","1131","208","63","61","175","391","175"
"37","183","052603","1","371830526031",Block Group 1,G5030,S,"1986774","0","+35.8301753","-078.6467584","1","1929","875","244","1854","22","11","42","0","100","52"
"37","183","052408","1","371830524081",Block Group 1,G5030,S,"599632","0","+35.7818008","-078.6938358","0","1182","427","64","639","281","147","115","30","201","79"
"37","183","052408","2","371830524082",Block Group 2,G5030,S,"448920","0","+35.7772764","-078.6911583","0","2404","729","17","1175","813","109","307","59","342","610"
"37","183","052704","2","371830527042",Block Group 2,G5030,S,"637396","0","+35.8441867","-078.5932285","1","1861","730","173","497","711","38","615","89","297","727"
"37","183","054006","2","371830540062",Block Group 2,G5030,S,"748186","0","+35.8696194","-078.6340327","1","1078","427","276","856","192","30","0","10","57","31"
"37","183","054007","2","371830540072",Block Group 2,G5030,S,"1207779","0","+35.8919289","-078.6443817","1","1994","866","149","1322","570","23","79","36","149","66"
"37","183","053724","1","371830537241",Block Group 1,G5030,S,"5862051","77679","+35.8979250","-078.7499213","1","6541","2491","500","4373","622","769","777","51","268","652"
